Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Son en Breugel,848,North Brabant,"17,775","685/km2 (1,770/sq mi)",25.55 km2 (9.86 sq mi)
Stadskanaal,37,Groningen,"31,851",271/km2 (700/sq mi),117.73 km2 (45.46 sq mi)
Staphorst,180,Overijssel,"17,282",129/km2 (330/sq mi),133.34 km2 (51.48 sq mi)
Stede Broec,532,North Holland,"21,947","1,515/km2 (3,920/sq mi)",14.48 km2 (5.59 sq mi)
Steenbergen,851,North Brabant,"24,333",166/km2 (430/sq mi),146.6 km2 (56.60 sq mi)
Steenwijkerland,1708,Overijssel,"44,741",155/km2 (400/sq mi),288.81 km2 (111.51 sq mi)
Stein,971,Limburg,"24,803","1,185/km2 (3,070/sq mi)",20.02 km2 (7.73 sq mi)
Stichtse Vecht,1904,Utrecht,"65,240","679/km2 (1,760/sq mi)",96.64 km2 (37.31 sq mi)
Súdwest-Fryslân,1900,Friesland,"90,300",173/km2 (450/sq mi),522.2 km2 (201.62 sq mi)
Terneuzen,715,Zeeland,"54,501",218/km2 (560/sq mi),250.03 km2 (96.54 sq mi)
Terschelling,93,Friesland,"4,960",57/km2 (150/sq mi),87.71 km2 (33.87 sq mi)
Texel,448,North Holland,"13,687",84/km2 (220/sq mi),162.26 km2 (62.65 sq mi)
Teylingen,1525,South Holland,"37,942","1,340/km2 (3,500/sq mi)",28.82 km2 (11.13 sq mi)
The Hague,518,South Holland,"553,417","6,712/km2 (17,380/sq mi)",82.26 km2 (31.76 sq mi)
Tholen,716,Zeeland,"26,401",180/km2 (470/sq mi),146.62 km2 (56.61 sq mi)
Tiel,281,Gelderland,"42,277","1,289/km2 (3,340/sq mi)",32.2 km2 (12.43 sq mi)
Tilburg,855,North Brabant,"224,459","1,783/km2 (4,620/sq mi)",125.59 km2 (48.49 sq mi)
Tubbergen,183,Overijssel,"21,364",145/km2 (380/sq mi),147 km2 (56.76 sq mi)
Twenterand,1700,Overijssel,"33,718",318/km2 (820/sq mi),106.64 km2 (41.17 sq mi)
Tynaarlo,1730,Drenthe,"34,221",240/km2 (620/sq mi),142.28 km2 (54.93 sq mi)
Tytsjerksteradiel,737,Friesland,"32,282",217/km2 (560/sq mi),148.83 km2 (57.46 sq mi)
Uitgeest,450,North Holland,"13,563","708/km2 (1,830/sq mi)",19.96 km2 (7.71 sq mi)
Uithoorn,451,North Holland,"31,018","1,712/km2 (4,430/sq mi)",18.82 km2 (7.27 sq mi)
Urk,184,Flevoland,"21,468","1,634/km2 (4,230/sq mi)",13.34 km2 (5.15 sq mi)
Utrecht,344,Utrecht,"361,699","3,857/km2 (9,990/sq mi)",93.37 km2 (36.05 sq mi)
Utrechtse Heuvelrug,1581,Utrecht,"49,981",379/km2 (980/sq mi),132.22 km2 (51.05 sq mi)
Vaals,981,Limburg,"10,135","424/km2 (1,100/sq mi)",23.39 km2 (9.03 sq mi)
Valkenburg aan de Geul,994,Limburg,"16,167","440/km2 (1,100/sq mi)",36.63 km2 (14.14 sq mi)
Valkenswaard,858,North Brabant,"31,236","569/km2 (1,470/sq mi)",54.41 km2 (21.01 sq mi)
Veendam,47,Groningen,"27,466",362/km2 (940/sq mi),75.53 km2 (29.16 sq mi)
Veenendaal,345,Utrecht,"67,671","3,484/km2 (9,020/sq mi)",19.92 km2 (7.69 sq mi)
Veere,717,Zeeland,"21,850",164/km2 (420/sq mi),132.29 km2 (51.08 sq mi)
Veldhoven,861,North Brabant,"45,822","1,446/km2 (3,750/sq mi)",31.18 km2 (12.04 sq mi)
Velsen,453,North Holland,"68,482","1,521/km2 (3,940/sq mi)",45.53 km2 (17.58 sq mi)
Venlo,983,Limburg,"102,136","823/km2 (2,130/sq mi)",124.46 km2 (48.05 sq mi)
Venray,984,Limburg,"43,964",269/km2 (700/sq mi),163.38 km2 (63.08 sq mi)
Vijfheerenlanden,1961,Utrecht,"58,788","402/km2 (1,040/sq mi)",146.68 km2 (56.63 sq mi)
Vlaardingen,622,South Holland,"74,143","3,174/km2 (8,220/sq mi)",23.36 km2 (9.02 sq mi)
Vlieland,96,Friesland,"1,195",29/km2 (75/sq mi),41.14 km2 (15.88 sq mi)
Vlissingen,718,Zeeland,"44,585","1,297/km2 (3,360/sq mi)",34.47 km2 (13.31 sq mi)
Voerendaal,986,Limburg,"12,426","394/km2 (1,020/sq mi)",31.11 km2 (12.01 sq mi)
Voorne aan Zee,1992,South Holland,"73,238[f]","599/km2 (1,550/sq mi)[f]",122.27 km2 (47.21 sq mi)[f]
Voorschoten,626,South Holland,"25,627","2,306/km2 (5,970/sq mi)",11.11 km2 (4.29 sq mi)
Voorst,285,Gelderland,"24,994",203/km2 (530/sq mi),122.23 km2 (47.19 sq mi)
Vught,865,North Brabant,"31,783","530/km2 (1,400/sq mi)",60.02 km2 (23.17 sq mi)
Waadhoeke,1949,Friesland,"46,309",162/km2 (420/sq mi),285.52 km2 (110.24 sq mi)
Waalre,866,North Brabant,"17,626","787/km2 (2,040/sq mi)",22.28 km2 (8.60 sq mi)
Waalwijk,867,North Brabant,"49,342","765/km2 (1,980/sq mi)",64.44 km2 (24.88 sq mi)
Waddinxveen,627,South Holland,"31,342","1,129/km2 (2,920/sq mi)",27.75 km2 (10.71 sq mi)
Wageningen,289,Gelderland,"39,939","1,313/km2 (3,400/sq mi)",30.02 km2 (11.59 sq mi)
Wassenaar,629,South Holland,"27,115","530/km2 (1,400/sq mi)",51.18 km2 (19.76 sq mi)
Waterland,852,North Holland,"17,343",334/km2 (870/sq mi),51.19 km2 (19.76 sq mi)
Weert,988,Limburg,"50,346","483/km2 (1,250/sq mi)",104.45 km2 (40.33 sq mi)
West Betuwe,1960,Gelderland,"51,971",241/km2 (620/sq mi),215.53 km2 (83.22 sq mi)
West Maas en Waal,668,Gelderland,"19,675",258/km2 (670/sq mi),76.69 km2 (29.61 sq mi)
Westerkwartier,1969,Groningen,"64,306",177/km2 (460/sq mi),362.23 km2 (139.86 sq mi)
Westerveld,1701,Drenthe,"19,854",71/km2 (180/sq mi),278.85 km2 (107.66 sq mi)
Westervoort,293,Gelderland,"14,944","2,131/km2 (5,520/sq mi)",7.71 km2 (2.98 sq mi)
Westerwolde,1950,Groningen,"26,571",96/km2 (250/sq mi),275.57 km2 (106.40 sq mi)
Westland,1783,South Holland,"112,448","1,392/km2 (3,610/sq mi)",80.06 km2 (30.91 sq mi)
Weststellingwerf,98,Friesland,"26,278",119/km2 (310/sq mi),220.0 km2 (84.94 sq mi)
Wierden,189,Overijssel,"24,643",260/km2 (670/sq mi),94.4 km2 (36.45 sq mi)
Wijchen,296,Gelderland,"41,344","626/km2 (1,620/sq mi)",66.64 km2 (25.73 sq mi)
Wijdemeren,1696,North Holland,"24,494","515/km2 (1,330/sq mi)",47.74 km2 (18.43 sq mi)
Wijk bij Duurstede,352,Utrecht,"23,921","503/km2 (1,300/sq mi)",47.78 km2 (18.45 sq mi)
Winterswijk,294,Gelderland,"29,185",211/km2 (550/sq mi),138.83 km2 (53.60 sq mi)
Woensdrecht,873,North Brabant,"22,112",241/km2 (620/sq mi),91.16 km2 (35.20 sq mi)
Woerden,632,Utrecht,"52,882","597/km2 (1,550/sq mi)",88.85 km2 (34.31 sq mi)
Wormerland,880,North Holland,"16,381","425/km2 (1,100/sq mi)",38.81 km2 (14.98 sq mi)
Woudenberg,351,Utrecht,"13,873",380/km2 (980/sq mi),36.62 km2 (14.14 sq mi)
Zaanstad,479,North Holland,"157,166","2,131/km2 (5,520/sq mi)",73.34 km2 (28.32 sq mi)
Zaltbommel,297,Gelderland,"29,957",381/km2 (990/sq mi),78.85 km2 (30.44 sq mi)
Zandvoort,473,North Holland,"17,107","533/km2 (1,380/sq mi)",32.28 km2 (12.46 sq mi)
Zeewolde,50,Flevoland,"23,348",94/km2 (240/sq mi),247.71 km2 (95.64 sq mi)
Zeist,355,Utrecht,"65,987","1,361/km2 (3,520/sq mi)",48.8 km2 (18.84 sq mi)
Zevenaar,299,Gelderland,"44,645","482/km2 (1,250/sq mi)",92.22 km2 (35.61 sq mi)
Zoetermeer,637,South Holland,"125,767","3,653/km2 (9,460/sq mi)",34.43 km2 (13.29 sq mi)
Zoeterwoude,638,South Holland,"9,302","440/km2 (1,100/sq mi)",21.16 km2 (8.17 sq mi)
Zuidplas,1892,South Holland,"45,794","790/km2 (2,000/sq mi)",57.76 km2 (22.30 sq mi)
Zundert,879,North Brabant,"22,260",185/km2 (480/sq mi),120.09 km2 (46.37 sq mi)
Zutphen,301,Gelderland,"48,330","1,181/km2 (3,060/sq mi)",40.02 km2 (15.45 sq mi)
Zwartewaterland,1896,Overijssel,"23,012",279/km2 (720/sq mi),82.26 km2 (31.76 sq mi)
Zwijndrecht,642,South Holland,"44,789","2,206/km2 (5,710/sq mi)",20.01 km2 (7.73 sq mi)
Zwolle,193,Overijssel,"130,668","1,181/km2 (3,060/sq mi)",110.07 km2 (42.50 sq mi)
