Municipality[a],CBS code[2],Province,Population[b][26],Population density[c][26],Land area[d][26]
Dantumadiel,1891,Friesland,"18,957",224/km2 (580/sq mi),84.4 km2 (32.59 sq mi)
De Bilt,310,Utrecht,"43,508","657/km2 (1,700/sq mi)",66.69 km2 (25.75 sq mi)
De Fryske Marren,1940,Friesland,"51,597",147/km2 (380/sq mi),351.11 km2 (135.56 sq mi)
De Ronde Venen,736,Utrecht,"44,955","451/km2 (1,170/sq mi)",99.98 km2 (38.60 sq mi)
De Wolden,1690,Drenthe,"24,511",109/km2 (280/sq mi),224.49 km2 (86.68 sq mi)
Delft,503,South Holland,"104,572","4,614/km2 (11,950/sq mi)",22.26 km2 (8.59 sq mi)
Den Helder,400,North Holland,"56,334","1,249/km2 (3,230/sq mi)",45.5 km2 (17.57 sq mi)
Deurne,762,North Brabant,"32,606",279/km2 (720/sq mi),116.66 km2 (45.04 sq mi)
Deventer,150,Overijssel,"101,446","777/km2 (2,010/sq mi)",130.06 km2 (50.22 sq mi)
Diemen,384,North Holland,"31,822","2,664/km2 (6,900/sq mi)",11.15 km2 (4.31 sq mi)
Dijk en Waard,1980,North Holland,"87,695","1,417/km2 (3,670/sq mi)",61.1 km2 (23.59 sq mi)
Dinkelland,1774,Overijssel,"26,594",151/km2 (390/sq mi),175.52 km2 (67.77 sq mi)
Doesburg,221,Gelderland,"11,036","955/km2 (2,470/sq mi)",11.16 km2 (4.31 sq mi)
Doetinchem,222,Gelderland,"58,546","741/km2 (1,920/sq mi)",79.94 km2 (30.87 sq mi)
Dongen,766,North Brabant,"26,483","906/km2 (2,350/sq mi)",29.93 km2 (11.56 sq mi)
Dordrecht,505,South Holland,"119,537","1,541/km2 (3,990/sq mi)",77.76 km2 (30.02 sq mi)
Drechterland,498,North Holland,"19,983",339/km2 (880/sq mi),58.88 km2 (22.73 sq mi)
Drimmelen,1719,North Brabant,"27,476",289/km2 (750/sq mi),95.55 km2 (36.89 sq mi)
Dronten,303,Flevoland,"42,865",128/km2 (330/sq mi),333.3 km2 (128.69 sq mi)
Druten,225,Gelderland,"19,178","511/km2 (1,320/sq mi)",37.72 km2 (14.56 sq mi)
Duiven,226,Gelderland,"24,946","736/km2 (1,910/sq mi)",33.38 km2 (12.89 sq mi)
Echt-Susteren,1711,Limburg,"31,731",308/km2 (800/sq mi),103.32 km2 (39.89 sq mi)
Edam-Volendam,385,North Holland,"36,471","671/km2 (1,740/sq mi)",54.42 km2 (21.01 sq mi)
Ede,228,Gelderland,"119,986",377/km2 (980/sq mi),318.85 km2 (123.11 sq mi)
Eemnes,317,Utrecht,"9,450",304/km2 (790/sq mi),31.14 km2 (12.02 sq mi)
Eemsdelta,1979,Groningen,"45,389",169/km2 (440/sq mi),268.87 km2 (103.81 sq mi)
Eersel,770,North Brabant,"19,823",240/km2 (620/sq mi),82.27 km2 (31.76 sq mi)
Eijsden-Margraten,1903,Limburg,"25,857",333/km2 (860/sq mi),77.76 km2 (30.02 sq mi)
Eindhoven,772,North Brabant,"238,326","2,708/km2 (7,010/sq mi)",88.82 km2 (34.29 sq mi)
Elburg,230,Gelderland,"23,740",372/km2 (960/sq mi),63.32 km2 (24.45 sq mi)
Emmen,114,Drenthe,"107,856",322/km2 (830/sq mi),335.53 km2 (129.55 sq mi)
Enkhuizen,388,North Holland,"18,620","1,470/km2 (3,800/sq mi)",12.26 km2 (4.73 sq mi)
Enschede,153,Overijssel,"160,640","1,141/km2 (2,960/sq mi)",140.03 km2 (54.07 sq mi)
Epe,232,Gelderland,"33,257",213/km2 (550/sq mi),156.62 km2 (60.47 sq mi)
Ermelo,233,Gelderland,"27,258",318/km2 (820/sq mi),85.54 km2 (33.03 sq mi)
Etten-Leur,777,North Brabant,"44,152","799/km2 (2,070/sq mi)",55.59 km2 (21.46 sq mi)
Geertruidenberg,779,North Brabant,"21,944","825/km2 (2,140/sq mi)",26.6 km2 (10.27 sq mi)
Geldrop-Mierlo,1771,North Brabant,"40,131","1,294/km2 (3,350/sq mi)",31.11 km2 (12.01 sq mi)
Gemert-Bakel,1652,North Brabant,"31,040",254/km2 (660/sq mi),122.27 km2 (47.21 sq mi)
Gennep,907,Limburg,"17,237",362/km2 (940/sq mi),47.77 km2 (18.44 sq mi)
Gilze en Rijen,784,North Brabant,"26,557","406/km2 (1,050/sq mi)",65.58 km2 (25.32 sq mi)
Goeree-Overflakkee,1924,South Holland,"51,051",195/km2 (510/sq mi),262.2 km2 (101.24 sq mi)
Goes,664,Zeeland,"38,950","421/km2 (1,090/sq mi)",92.28 km2 (35.63 sq mi)
Goirle,785,North Brabant,"23,979","558/km2 (1,450/sq mi)",42.27 km2 (16.32 sq mi)
Gooise Meren,1942,North Holland,"58,846","1,419/km2 (3,680/sq mi)",41.17 km2 (15.90 sq mi)
Gorinchem,512,South Holland,"37,632","2,011/km2 (5,210/sq mi)",18.81 km2 (7.26 sq mi)
Gouda,513,South Holland,"74,095","4,491/km2 (11,630/sq mi)",16.6 km2 (6.41 sq mi)
